Experiencia,Educacion,Python,Puntaje,Aptitud
3,Ingeniero,1,1.3,apto
1,Ingeniero,1,1.1,apto
4,Técnico,0,0.6,no apto
6,Licenciado,1,0.8,apto
7,Ingeniero,1,1.3,apto
7,Ingeniero,0,0.1,no apto
14,Ingeniero,1,1.3,apto
12,Técnico,1,0.6,no apto
9,Licenciado,0,0.4,no apto
9,Licenciado,0,0.4,no apto
3,Licenciado,0,0.4,no apto
9,Licenciado,0,0.4,no apto
10,Licenciado,1,0.8,apto
4,Licenciado,0,0.4,no apto
4,Licenciado,0,0.4,no apto
12,Técnico,0,0.6,no apto
6,Licenciado,0,0.4,no apto
9,Ingeniero,0,0.1,no apto
5,Técnico,0,0.6,no apto
15,Licenciado,0,0.4,no apto
13,Técnico,0,0.6,no apto
1,Licenciado,1,0.6,no apto
6,Licenciado,0,0.4,no apto
12,Licenciado,1,0.8,apto
4,Ingeniero,0,0.1,no apto
15,Ingeniero,0,0.1,no apto
3,Técnico,1,0.6,no apto
4,Técnico,1,0.6,no apto
11,Técnico,1,0.6,no apto
2,Licenciado,0,0.4,no apto
12,Licenciado,1,0.8,apto
11,Técnico,1,0.6,no apto
9,Técnico,0,0.6,no apto
11,Licenciado,0,0.4,no apto
11,Técnico,0,0.6,no apto
6,Licenciado,1,0.8,apto
15,Técnico,1,0.6,no apto
9,Ingeniero,1,1.3,apto
15,Técnico,0,0.6,no apto
15,Técnico,1,0.6,no apto
14,Licenciado,0,0.4,no apto
3,Ingeniero,0,0.1,no apto
15,Técnico,1,0.6,no apto
5,Ingeniero,1,1.3,apto
15,Licenciado,0,0.4,no apto
8,Ingeniero,0,0.1,no apto
15,Técnico,0,0.6,no apto
5,Técnico,1,0.6,no apto
6,Técnico,0,0.6,no apto
11,Licenciado,1,0.8,apto
1,Ingeniero,0,0.1,no apto
13,Licenciado,1,0.8,apto
3,Ingeniero,0,0.1,no apto
14,Licenciado,0,0.4,no apto
2,Licenciado,1,0.8,apto
3,Técnico,0,0.6,no apto
6,Técnico,1,0.6,no apto
5,Licenciado,1,0.8,apto
8,Licenciado,0,0.4,no apto
5,Ingeniero,1,1.3,apto
5,Ingeniero,0,0.1,no apto
12,Técnico,1,0.6,no apto
11,Técnico,0,0.6,no apto
5,Técnico,0,0.6,no apto
11,Ingeniero,0,0.1,no apto
12,Técnico,0,0.6,no apto
6,Ingeniero,1,1.3,apto
4,Técnico,0,0.6,no apto
3,Licenciado,0,0.4,no apto
7,Ingeniero,0,0.1,no apto
13,Ingeniero,1,1.3,apto
13,Técnico,1,0.6,no apto
9,Licenciado,0,0.4,no apto
2,Ingeniero,1,1.3,apto
1,Ingeniero,1,1.1,apto
10,Ingeniero,1,1.3,apto
3,Licenciado,0,0.4,no apto
2,Ingeniero,1,1.3,apto
12,Ingeniero,0,0.1,no apto
2,Ingeniero,0,0.1,no apto
13,Técnico,0,0.6,no apto
3,Ingeniero,0,0.1,no apto
8,Ingeniero,1,1.3,apto
9,Licenciado,0,0.4,no apto
12,Técnico,0,0.6,no apto
5,Técnico,1,0.6,no apto
10,Técnico,1,0.6,no apto
7,Licenciado,1,0.8,apto
9,Técnico,1,0.6,no apto
15,Licenciado,1,0.8,apto
5,Licenciado,1,0.8,apto
13,Técnico,0,0.6,no apto
6,Licenciado,0,0.4,no apto
14,Licenciado,0,0.4,no apto
2,Ingeniero,1,1.3,apto
11,Licenciado,1,0.8,apto
3,Ingeniero,0,0.1,no apto
9,Técnico,1,0.6,no apto
14,Técnico,1,0.6,no apto
5,Licenciado,0,0.4,no apto
9,Licenciado,1,0.8,apto
4,Licenciado,0,0.4,no apto
3,Licenciado,1,0.8,apto
15,Ingeniero,1,1.3,apto
1,Ingeniero,0,0.1,no apto
10,Técnico,1,0.6,no apto
4,Técnico,1,0.6,no apto
10,Técnico,0,0.6,no apto
10,Ingeniero,1,1.3,apto
4,Ingeniero,1,1.3,apto
7,Licenciado,1,0.8,apto
9,Técnico,1,0.6,no apto
3,Ingeniero,0,0.1,no apto
4,Ingeniero,0,0.1,no apto
10,Ingeniero,0,0.1,no apto
4,Licenciado,1,0.8,apto
11,Ingeniero,1,1.3,apto
7,Licenciado,0,0.4,no apto
1,Ingeniero,1,1.1,apto
11,Ingeniero,0,0.1,no apto
9,Licenciado,1,0.8,apto
6,Ingeniero,0,0.1,no apto
13,Ingeniero,0,0.1,no apto
12,Licenciado,0,0.4,no apto
3,Licenciado,0,0.4,no apto
3,Ingeniero,0,0.1,no apto
4,Técnico,0,0.6,no apto
14,Ingeniero,1,1.3,apto
13,Licenciado,1,0.8,apto
9,Licenciado,0,0.4,no apto
9,Ingeniero,1,1.3,apto
7,Técnico,0,0.6,no apto
4,Licenciado,1,0.8,apto
15,Licenciado,0,0.4,no apto
2,Ingeniero,1,1.3,apto
1,Licenciado,0,0.6,no apto
11,Ingeniero,1,1.3,apto
14,Técnico,1,0.6,no apto
13,Ingeniero,1,1.3,apto
8,Técnico,0,0.6,no apto
5,Técnico,1,0.6,no apto
15,Técnico,1,0.6,no apto
12,Licenciado,1,0.8,apto
12,Ingeniero,1,1.3,apto
7,Técnico,0,0.6,no apto
13,Licenciado,0,0.4,no apto
8,Ingeniero,0,0.1,no apto
5,Licenciado,0,0.4,no apto
9,Licenciado,0,0.4,no apto
2,Ingeniero,0,0.1,no apto
13,Licenciado,1,0.8,apto
6,Licenciado,0,0.4,no apto
1,Ingeniero,1,1.1,apto
12,Técnico,1,0.6,no apto
5,Ingeniero,0,0.1,no apto
5,Técnico,1,0.6,no apto
6,Técnico,0,0.6,no apto
10,Técnico,0,0.6,no apto
9,Ingeniero,0,0.1,no apto
5,Licenciado,0,0.4,no apto
8,Técnico,0,0.6,no apto
3,Técnico,0,0.6,no apto
3,Ingeniero,1,1.3,apto
9,Técnico,1,0.6,no apto
14,Ingeniero,1,1.3,apto
13,Técnico,0,0.6,no apto
3,Ingeniero,1,1.3,apto
2,Ingeniero,1,1.3,apto
1,Técnico,0,0.8,apto
6,Técnico,0,0.6,no apto
11,Licenciado,1,0.8,apto
1,Ingeniero,0,0.1,no apto
1,Técnico,0,0.8,apto
9,Licenciado,1,0.8,apto
9,Ingeniero,0,0.1,no apto
13,Técnico,1,0.6,no apto
15,Técnico,1,0.6,no apto
4,Técnico,0,0.6,no apto
14,Licenciado,0,0.4,no apto
13,Licenciado,1,0.8,apto
6,Licenciado,0,0.4,no apto
10,Técnico,1,0.6,no apto
5,Ingeniero,1,1.3,apto
11,Ingeniero,1,1.3,apto
2,Licenciado,0,0.4,no apto
7,Ingeniero,0,0.1,no apto
1,Ingeniero,1,1.1,apto
12,Técnico,1,0.6,no apto
8,Licenciado,0,0.4,no apto
10,Técnico,1,0.6,no apto
4,Técnico,0,0.6,no apto
5,Técnico,1,0.6,no apto
11,Licenciado,1,0.8,apto
3,Licenciado,1,0.8,apto
4,Ingeniero,1,1.3,apto
13,Ingeniero,0,0.1,no apto
15,Técnico,0,0.6,no apto
3,Ingeniero,1,1.3,apto
10,Licenciado,0,0.4,no apto
7,Ingeniero,1,1.3,apto
13,Ingeniero,1,1.3,apto
9,Ingeniero,0,0.1,no apto
1,Técnico,0,0.8,apto
4,Técnico,0,0.6,no apto
10,Ingeniero,0,0.1,no apto
13,Licenciado,1,0.8,apto
11,Licenciado,0,0.4,no apto
8,Técnico,0,0.6,no apto
9,Licenciado,0,0.4,no apto
3,Ingeniero,0,0.1,no apto
2,Ingeniero,0,0.1,no apto
13,Técnico,1,0.6,no apto
2,Licenciado,1,0.8,apto
7,Ingeniero,1,1.3,apto
12,Licenciado,0,0.4,no apto
6,Técnico,1,0.6,no apto
1,Licenciado,0,0.6,no apto
6,Licenciado,1,0.8,apto
3,Técnico,1,0.6,no apto
7,Licenciado,0,0.4,no apto
2,Técnico,1,0.6,no apto
6,Ingeniero,1,1.3,apto
10,Ingeniero,0,0.1,no apto
14,Licenciado,1,0.8,apto
5,Licenciado,0,0.4,no apto
13,Técnico,1,0.6,no apto
10,Ingeniero,1,1.3,apto
11,Licenciado,1,0.8,apto
3,Licenciado,0,0.4,no apto
5,Licenciado,1,0.8,apto
2,Técnico,0,0.6,no apto
5,Licenciado,0,0.4,no apto
8,Técnico,0,0.6,no apto
5,Técnico,0,0.6,no apto
10,Ingeniero,1,1.3,apto
8,Técnico,1,0.6,no apto
5,Técnico,0,0.6,no apto
6,Ingeniero,0,0.1,no apto
13,Licenciado,0,0.4,no apto
6,Licenciado,1,0.8,apto
5,Licenciado,1,0.8,apto
8,Licenciado,1,0.8,apto
7,Licenciado,0,0.4,no apto
12,Ingeniero,0,0.1,no apto
10,Técnico,0,0.6,no apto
7,Licenciado,0,0.4,no apto
6,Técnico,1,0.6,no apto
10,Ingeniero,1,1.3,apto
11,Ingeniero,1,1.3,apto
12,Licenciado,1,0.8,apto
8,Licenciado,1,0.8,apto
14,Licenciado,0,0.4,no apto
3,Ingeniero,0,0.1,no apto
4,Licenciado,1,0.8,apto
12,Licenciado,0,0.4,no apto
2,Licenciado,0,0.4,no apto
10,Licenciado,0,0.4,no apto
9,Técnico,0,0.6,no apto
12,Ingeniero,1,1.3,apto
2,Técnico,0,0.6,no apto
3,Ingeniero,1,1.3,apto
10,Ingeniero,0,0.1,no apto
13,Licenciado,0,0.4,no apto
2,Técnico,1,0.6,no apto
5,Técnico,1,0.6,no apto
8,Licenciado,0,0.4,no apto
8,Ingeniero,1,1.3,apto
6,Técnico,0,0.6,no apto
2,Licenciado,0,0.4,no apto
15,Técnico,1,0.6,no apto
14,Ingeniero,1,1.3,apto
6,Licenciado,0,0.4,no apto
8,Técnico,0,0.6,no apto
6,Licenciado,1,0.8,apto
8,Ingeniero,0,0.1,no apto
6,Técnico,0,0.6,no apto
1,Ingeniero,1,1.1,apto
1,Licenciado,1,0.6,no apto
11,Técnico,1,0.6,no apto
9,Técnico,1,0.6,no apto
6,Ingeniero,0,0.1,no apto
8,Técnico,0,0.6,no apto
11,Técnico,1,0.6,no apto
11,Ingeniero,0,0.1,no apto
7,Técnico,1,0.6,no apto
8,Ingeniero,0,0.1,no apto
7,Técnico,1,0.6,no apto
4,Licenciado,1,0.8,apto
10,Técnico,1,0.6,no apto
6,Licenciado,1,0.8,apto
8,Técnico,0,0.6,no apto
11,Licenciado,0,0.4,no apto
10,Licenciado,0,0.4,no apto
10,Técnico,0,0.6,no apto
6,Licenciado,1,0.8,apto
14,Ingeniero,0,0.1,no apto
15,Ingeniero,1,1.3,apto
11,Técnico,0,0.6,no apto
2,Técnico,0,0.6,no apto
2,Técnico,0,0.6,no apto
12,Técnico,0,0.6,no apto
7,Ingeniero,1,1.3,apto
10,Licenciado,0,0.4,no apto
3,Licenciado,1,0.8,apto
9,Técnico,0,0.6,no apto
5,Técnico,1,0.6,no apto
6,Licenciado,1,0.8,apto
14,Licenciado,1,0.8,apto
8,Técnico,1,0.6,no apto
14,Licenciado,0,0.4,no apto
7,Ingeniero,0,0.1,no apto
7,Ingeniero,0,0.1,no apto
8,Técnico,1,0.6,no apto
10,Técnico,1,0.6,no apto
5,Técnico,0,0.6,no apto
4,Ingeniero,0,0.1,no apto
3,Licenciado,0,0.4,no apto
9,Ingeniero,1,1.3,apto
10,Técnico,0,0.6,no apto
13,Ingeniero,0,0.1,no apto
9,Técnico,0,0.6,no apto
9,Técnico,0,0.6,no apto
2,Ingeniero,1,1.3,apto
5,Técnico,0,0.6,no apto
5,Licenciado,1,0.8,apto
8,Técnico,1,0.6,no apto
4,Ingeniero,0,0.1,no apto
14,Ingeniero,0,0.1,no apto
3,Ingeniero,1,1.3,apto
13,Técnico,1,0.6,no apto
13,Técnico,0,0.6,no apto
9,Licenciado,1,0.8,apto
6,Ingeniero,0,0.1,no apto
5,Ingeniero,0,0.1,no apto
14,Ingeniero,1,1.3,apto
3,Licenciado,1,0.8,apto
5,Ingeniero,1,1.3,apto
12,Técnico,1,0.6,no apto
3,Ingeniero,0,0.1,no apto
14,Técnico,0,0.6,no apto
8,Técnico,0,0.6,no apto
11,Licenciado,0,0.4,no apto
8,Técnico,1,0.6,no apto
7,Ingeniero,0,0.1,no apto
12,Licenciado,0,0.4,no apto
8,Licenciado,1,0.8,apto
14,Ingeniero,1,1.3,apto
12,Licenciado,0,0.4,no apto
14,Técnico,0,0.6,no apto
4,Licenciado,1,0.8,apto
8,Licenciado,0,0.4,no apto
14,Licenciado,0,0.4,no apto
9,Ingeniero,1,1.3,apto
10,Licenciado,0,0.4,no apto
15,Ingeniero,1,1.3,apto
1,Técnico,0,0.8,apto
1,Técnico,1,0.4,no apto
8,Licenciado,1,0.8,apto
7,Técnico,1,0.6,no apto
15,Ingeniero,0,0.1,no apto
3,Licenciado,1,0.8,apto
11,Licenciado,0,0.4,no apto
2,Licenciado,1,0.8,apto
1,Licenciado,0,0.6,no apto
12,Ingeniero,1,1.3,apto
7,Ingeniero,1,1.3,apto
12,Técnico,1,0.6,no apto
4,Licenciado,1,0.8,apto
3,Ingeniero,1,1.3,apto
9,Ingeniero,0,0.1,no apto
1,Técnico,0,0.8,apto
14,Técnico,0,0.6,no apto
12,Técnico,0,0.6,no apto
2,Técnico,0,0.6,no apto
2,Ingeniero,1,1.3,apto
2,Licenciado,0,0.4,no apto
15,Licenciado,1,0.8,apto
7,Técnico,1,0.6,no apto
2,Ingeniero,1,1.3,apto
10,Ingeniero,1,1.3,apto
8,Licenciado,1,0.8,apto
11,Ingeniero,1,1.3,apto
15,Licenciado,0,0.4,no apto
14,Técnico,1,0.6,no apto
15,Técnico,1,0.6,no apto
13,Técnico,0,0.6,no apto
6,Licenciado,0,0.4,no apto
13,Técnico,1,0.6,no apto
5,Ingeniero,1,1.3,apto
4,Ingeniero,0,0.1,no apto
13,Ingeniero,1,1.3,apto
14,Ingeniero,0,0.1,no apto
4,Ingeniero,1,1.3,apto
12,Licenciado,0,0.4,no apto
11,Técnico,1,0.6,no apto
8,Licenciado,1,0.8,apto
4,Licenciado,1,0.8,apto
9,Técnico,0,0.6,no apto
15,Licenciado,1,0.8,apto
7,Ingeniero,0,0.1,no apto
6,Ingeniero,1,1.3,apto
13,Licenciado,1,0.8,apto
1,Ingeniero,1,1.1,apto
1,Licenciado,1,0.6,no apto
1,Técnico,0,0.8,apto
9,Licenciado,0,0.4,no apto
7,Ingeniero,0,0.1,no apto
2,Ingeniero,1,1.3,apto
5,Técnico,0,0.6,no apto
2,Ingeniero,1,1.3,apto
13,Técnico,0,0.6,no apto
7,Ingeniero,1,1.3,apto
5,Ingeniero,0,0.1,no apto
12,Técnico,1,0.6,no apto
4,Técnico,0,0.6,no apto
2,Licenciado,1,0.8,apto
5,Ingeniero,1,1.3,apto
2,Técnico,1,0.6,no apto
12,Técnico,1,0.6,no apto
8,Licenciado,0,0.4,no apto
3,Licenciado,1,0.8,apto
12,Licenciado,1,0.8,apto
13,Técnico,0,0.6,no apto
13,Licenciado,0,0.4,no apto
9,Técnico,0,0.6,no apto
12,Ingeniero,1,1.3,apto
8,Licenciado,0,0.4,no apto
1,Licenciado,1,0.6,no apto
6,Técnico,0,0.6,no apto
13,Técnico,1,0.6,no apto
4,Ingeniero,1,1.3,apto
1,Técnico,1,0.4,no apto
1,Licenciado,0,0.6,no apto
7,Técnico,1,0.6,no apto
15,Técnico,0,0.6,no apto
4,Licenciado,1,0.8,apto
7,Ingeniero,0,0.1,no apto
5,Técnico,0,0.6,no apto
2,Ingeniero,1,1.3,apto
3,Técnico,1,0.6,no apto
7,Técnico,0,0.6,no apto
14,Licenciado,0,0.4,no apto
6,Técnico,0,0.6,no apto
1,Licenciado,1,0.6,no apto
5,Ingeniero,0,0.1,no apto
12,Ingeniero,1,1.3,apto
8,Licenciado,0,0.4,no apto
13,Técnico,1,0.6,no apto
3,Técnico,0,0.6,no apto
1,Técnico,0,0.8,apto
11,Ingeniero,1,1.3,apto
6,Técnico,0,0.6,no apto
14,Ingeniero,0,0.1,no apto
2,Técnico,1,0.6,no apto
7,Licenciado,1,0.8,apto
3,Ingeniero,0,0.1,no apto
2,Técnico,1,0.6,no apto
15,Ingeniero,0,0.1,no apto
12,Licenciado,0,0.4,no apto
12,Técnico,1,0.6,no apto
9,Técnico,0,0.6,no apto
2,Ingeniero,1,1.3,apto
7,Ingeniero,1,1.3,apto
4,Licenciado,0,0.4,no apto
14,Licenciado,0,0.4,no apto
12,Ingeniero,0,0.1,no apto
6,Licenciado,0,0.4,no apto
4,Técnico,1,0.6,no apto
3,Ingeniero,1,1.3,apto
3,Técnico,1,0.6,no apto
8,Licenciado,0,0.4,no apto
7,Técnico,0,0.6,no apto
13,Técnico,0,0.6,no apto
5,Licenciado,0,0.4,no apto
14,Técnico,1,0.6,no apto
3,Ingeniero,0,0.1,no apto
14,Ingeniero,1,1.3,apto
4,Licenciado,1,0.8,apto
2,Ingeniero,1,1.3,apto
6,Licenciado,1,0.8,apto
11,Licenciado,0,0.4,no apto
14,Técnico,1,0.6,no apto
7,Licenciado,1,0.8,apto
2,Licenciado,1,0.8,apto
13,Técnico,1,0.6,no apto
1,Técnico,1,0.4,no apto
3,Técnico,0,0.6,no apto
6,Ingeniero,1,1.3,apto
10,Ingeniero,0,0.1,no apto
15,Técnico,1,0.6,no apto
2,Técnico,0,0.6,no apto
13,Técnico,1,0.6,no apto
15,Licenciado,1,0.8,apto
1,Licenciado,1,0.6,no apto
3,Ingeniero,0,0.1,no apto
14,Ingeniero,0,0.1,no apto
8,Técnico,0,0.6,no apto
11,Licenciado,1,0.8,apto
6,Técnico,1,0.6,no apto
5,Licenciado,0,0.4,no apto
15,Técnico,1,0.6,no apto
10,Ingeniero,1,1.3,apto
11,Licenciado,0,0.4,no apto
7,Ingeniero,0,0.1,no apto
1,Técnico,0,0.8,apto
7,Técnico,0,0.6,no apto
4,Ingeniero,1,1.3,apto
11,Ingeniero,1,1.3,apto
7,Ingeniero,0,0.1,no apto
8,Ingeniero,0,0.1,no apto
6,Ingeniero,0,0.1,no apto
7,Licenciado,1,0.8,apto
1,Licenciado,1,0.6,no apto
1,Licenciado,1,0.6,no apto
13,Licenciado,0,0.4,no apto
13,Ingeniero,1,1.3,apto
3,Técnico,1,0.6,no apto
11,Técnico,0,0.6,no apto
9,Ingeniero,1,1.3,apto
13,Técnico,0,0.6,no apto
6,Técnico,1,0.6,no apto
4,Ingeniero,0,0.1,no apto
13,Ingeniero,0,0.1,no apto
15,Ingeniero,1,1.3,apto
12,Ingeniero,0,0.1,no apto
10,Ingeniero,1,1.3,apto
10,Técnico,0,0.6,no apto
9,Licenciado,1,0.8,apto
8,Técnico,1,0.6,no apto
1,Técnico,1,0.4,no apto
1,Ingeniero,0,0.1,no apto
1,Licenciado,1,0.6,no apto
13,Técnico,0,0.6,no apto
12,Técnico,0,0.6,no apto
1,Técnico,1,0.4,no apto
10,Ingeniero,1,1.3,apto
13,Técnico,0,0.6,no apto
2,Licenciado,0,0.4,no apto
10,Técnico,0,0.6,no apto
5,Licenciado,1,0.8,apto
3,Ingeniero,0,0.1,no apto
13,Ingeniero,0,0.1,no apto
11,Licenciado,1,0.8,apto
12,Ingeniero,0,0.1,no apto
4,Ingeniero,1,1.3,apto
7,Licenciado,0,0.4,no apto
3,Técnico,1,0.6,no apto
12,Ingeniero,0,0.1,no apto
14,Ingeniero,1,1.3,apto
3,Ingeniero,0,0.1,no apto
15,Ingeniero,1,1.3,apto
11,Ingeniero,1,1.3,apto
15,Licenciado,1,0.8,apto
6,Ingeniero,1,1.3,apto
4,Licenciado,0,0.4,no apto
3,Ingeniero,1,1.3,apto
14,Ingeniero,0,0.1,no apto
8,Técnico,0,0.6,no apto
4,Técnico,1,0.6,no apto
6,Licenciado,1,0.8,apto
12,Técnico,1,0.6,no apto
7,Licenciado,0,0.4,no apto
3,Licenciado,0,0.4,no apto
15,Licenciado,0,0.4,no apto
9,Licenciado,1,0.8,apto
14,Licenciado,1,0.8,apto
3,Licenciado,1,0.8,apto
13,Técnico,0,0.6,no apto
1,Licenciado,0,0.6,no apto
2,Técnico,0,0.6,no apto
3,Licenciado,1,0.8,apto
12,Técnico,1,0.6,no apto
6,Ingeniero,0,0.1,no apto
12,Técnico,0,0.6,no apto
11,Técnico,0,0.6,no apto
3,Técnico,1,0.6,no apto
6,Técnico,1,0.6,no apto
7,Ingeniero,0,0.1,no apto
11,Licenciado,0,0.4,no apto
4,Técnico,1,0.6,no apto
7,Ingeniero,0,0.1,no apto
3,Técnico,0,0.6,no apto
1,Licenciado,1,0.6,no apto
5,Ingeniero,0,0.1,no apto
4,Técnico,1,0.6,no apto
4,Técnico,0,0.6,no apto
2,Licenciado,1,0.8,apto
5,Licenciado,0,0.4,no apto
8,Ingeniero,0,0.1,no apto
2,Ingeniero,0,0.1,no apto
3,Licenciado,0,0.4,no apto
6,Técnico,0,0.6,no apto
1,Licenciado,0,0.6,no apto
8,Licenciado,1,0.8,apto
14,Licenciado,1,0.8,apto
3,Ingeniero,1,1.3,apto
2,Ingeniero,0,0.1,no apto
13,Ingeniero,0,0.1,no apto
13,Ingeniero,1,1.3,apto
9,Técnico,0,0.6,no apto
14,Ingeniero,0,0.1,no apto
9,Ingeniero,0,0.1,no apto
10,Técnico,0,0.6,no apto
5,Técnico,0,0.6,no apto
15,Ingeniero,1,1.3,apto
9,Ingeniero,1,1.3,apto
2,Licenciado,1,0.8,apto
3,Técnico,1,0.6,no apto
3,Técnico,0,0.6,no apto
2,Ingeniero,0,0.1,no apto
4,Ingeniero,1,1.3,apto
14,Ingeniero,0,0.1,no apto
6,Ingeniero,1,1.3,apto
2,Licenciado,0,0.4,no apto
9,Licenciado,0,0.4,no apto
9,Licenciado,1,0.8,apto
13,Ingeniero,0,0.1,no apto
2,Licenciado,1,0.8,apto
3,Ingeniero,1,1.3,apto
15,Técnico,1,0.6,no apto
13,Licenciado,0,0.4,no apto
15,Licenciado,0,0.4,no apto
7,Ingeniero,0,0.1,no apto
10,Ingeniero,0,0.1,no apto
1,Técnico,0,0.8,apto
7,Técnico,0,0.6,no apto
1,Licenciado,0,0.6,no apto
12,Técnico,1,0.6,no apto
12,Licenciado,0,0.4,no apto
15,Licenciado,1,0.8,apto
6,Licenciado,0,0.4,no apto
5,Licenciado,1,0.8,apto
14,Técnico,1,0.6,no apto
5,Ingeniero,0,0.1,no apto
13,Licenciado,0,0.4,no apto
12,Licenciado,1,0.8,apto
4,Licenciado,1,0.8,apto
15,Licenciado,0,0.4,no apto
13,Ingeniero,0,0.1,no apto
14,Técnico,1,0.6,no apto
2,Licenciado,0,0.4,no apto
3,Ingeniero,1,1.3,apto
3,Técnico,1,0.6,no apto
14,Técnico,1,0.6,no apto
1,Licenciado,1,0.6,no apto
15,Licenciado,1,0.8,apto
5,Licenciado,0,0.4,no apto
9,Licenciado,1,0.8,apto
11,Técnico,1,0.6,no apto
6,Licenciado,0,0.4,no apto
3,Licenciado,0,0.4,no apto
6,Técnico,0,0.6,no apto
12,Ingeniero,1,1.3,apto
5,Técnico,0,0.6,no apto
1,Técnico,1,0.4,no apto
14,Técnico,1,0.6,no apto
11,Técnico,0,0.6,no apto
11,Licenciado,1,0.8,apto
14,Ingeniero,1,1.3,apto
8,Técnico,1,0.6,no apto
10,Técnico,1,0.6,no apto
5,Ingeniero,0,0.1,no apto
12,Ingeniero,0,0.1,no apto
7,Licenciado,0,0.4,no apto
8,Licenciado,1,0.8,apto
8,Licenciado,0,0.4,no apto
10,Técnico,1,0.6,no apto
9,Ingeniero,0,0.1,no apto
9,Ingeniero,0,0.1,no apto
5,Ingeniero,1,1.3,apto
8,Técnico,0,0.6,no apto
5,Ingeniero,0,0.1,no apto
14,Licenciado,0,0.4,no apto
11,Ingeniero,0,0.1,no apto
4,Técnico,1,0.6,no apto
15,Técnico,0,0.6,no apto
11,Licenciado,1,0.8,apto
12,Técnico,0,0.6,no apto
5,Licenciado,0,0.4,no apto
7,Licenciado,1,0.8,apto
10,Ingeniero,1,1.3,apto
6,Ingeniero,1,1.3,apto
11,Ingeniero,0,0.1,no apto
15,Ingeniero,0,0.1,no apto
9,Licenciado,1,0.8,apto
14,Ingeniero,1,1.3,apto
5,Técnico,0,0.6,no apto
3,Ingeniero,0,0.1,no apto
12,Ingeniero,1,1.3,apto
11,Licenciado,1,0.8,apto
4,Licenciado,1,0.8,apto
12,Licenciado,0,0.4,no apto
13,Licenciado,0,0.4,no apto
5,Ingeniero,0,0.1,no apto
8,Técnico,0,0.6,no apto
1,Ingeniero,1,1.1,apto
8,Técnico,1,0.6,no apto
14,Ingeniero,0,0.1,no apto
9,Licenciado,0,0.4,no apto
1,Técnico,1,0.4,no apto
4,Licenciado,0,0.4,no apto
10,Licenciado,1,0.8,apto
6,Ingeniero,1,1.3,apto
13,Técnico,0,0.6,no apto
6,Ingeniero,1,1.3,apto
6,Ingeniero,1,1.3,apto
1,Licenciado,0,0.6,no apto
4,Técnico,1,0.6,no apto
8,Técnico,1,0.6,no apto
10,Licenciado,0,0.4,no apto
7,Licenciado,0,0.4,no apto
7,Técnico,1,0.6,no apto
9,Técnico,0,0.6,no apto
1,Licenciado,1,0.6,no apto
1,Ingeniero,1,1.1,apto
11,Ingeniero,1,1.3,apto
4,Ingeniero,0,0.1,no apto
5,Técnico,1,0.6,no apto
7,Ingeniero,0,0.1,no apto
3,Técnico,1,0.6,no apto
5,Licenciado,0,0.4,no apto
12,Ingeniero,0,0.1,no apto
7,Ingeniero,1,1.3,apto
6,Licenciado,0,0.4,no apto
13,Técnico,1,0.6,no apto
15,Licenciado,1,0.8,apto
4,Técnico,1,0.6,no apto
4,Ingeniero,1,1.3,apto
10,Ingeniero,1,1.3,apto
2,Licenciado,1,0.8,apto
7,Ingeniero,0,0.1,no apto
13,Ingeniero,1,1.3,apto
10,Técnico,1,0.6,no apto
11,Técnico,1,0.6,no apto
12,Técnico,0,0.6,no apto
8,Licenciado,1,0.8,apto
9,Licenciado,0,0.4,no apto
12,Técnico,1,0.6,no apto
12,Ingeniero,1,1.3,apto
5,Licenciado,1,0.8,apto
11,Ingeniero,0,0.1,no apto
10,Ingeniero,1,1.3,apto
7,Técnico,1,0.6,no apto
5,Técnico,1,0.6,no apto
8,Técnico,1,0.6,no apto
13,Licenciado,1,0.8,apto
6,Ingeniero,0,0.1,no apto
5,Técnico,1,0.6,no apto
9,Licenciado,1,0.8,apto
12,Licenciado,0,0.4,no apto
4,Técnico,1,0.6,no apto
11,Técnico,1,0.6,no apto
14,Ingeniero,0,0.1,no apto
3,Técnico,1,0.6,no apto
12,Ingeniero,1,1.3,apto
15,Licenciado,1,0.8,apto
8,Licenciado,0,0.4,no apto
8,Técnico,1,0.6,no apto
14,Técnico,1,0.6,no apto
14,Licenciado,0,0.4,no apto
13,Ingeniero,0,0.1,no apto
7,Ingeniero,1,1.3,apto
2,Técnico,1,0.6,no apto
14,Técnico,1,0.6,no apto
6,Licenciado,0,0.4,no apto
10,Licenciado,1,0.8,apto
6,Licenciado,1,0.8,apto
2,Licenciado,0,0.4,no apto
8,Licenciado,0,0.4,no apto
12,Licenciado,0,0.4,no apto
11,Técnico,1,0.6,no apto
3,Ingeniero,1,1.3,apto
14,Técnico,1,0.6,no apto
7,Ingeniero,0,0.1,no apto
13,Ingeniero,0,0.1,no apto
3,Ingeniero,0,0.1,no apto
13,Licenciado,1,0.8,apto
14,Ingeniero,1,1.3,apto
8,Licenciado,1,0.8,apto
15,Licenciado,0,0.4,no apto
1,Técnico,0,0.8,apto
11,Licenciado,1,0.8,apto
12,Ingeniero,1,1.3,apto
11,Licenciado,1,0.8,apto
7,Ingeniero,1,1.3,apto
8,Licenciado,0,0.4,no apto
3,Ingeniero,1,1.3,apto
1,Ingeniero,1,1.1,apto
9,Licenciado,0,0.4,no apto
14,Técnico,1,0.6,no apto
